DS      MC1,MN2[GeV]   MN1[GeV]             xsec[pb]              xsec sys[%]

164324      100           0         10.2344*0.675902*0.100788        7.55  
164325      100          50         10.2344*0.675902*0.100788        7.55
164326      150           0         2.19063*0.675902*0.100788        6.45
164327      150          50         2.19063*0.675902*0.100788        6.45
164328      150         100         2.19063*0.675902*0.100788        6.45
164329      200           0         0.71445*0.675902*0.100788        6.30
164330      200          50         0.71445*0.675902*0.100788        6.30
164331      200         100         0.71445*0.675902*0.100788        6.30
164332      200         150         0.71445*0.675902*0.100788        6.30
164333      250           0         0.28790*0.675902*0.100788        6.31
164334      250          50         0.28790*0.675902*0.100788        6.31
164335      250         100         0.28790*0.675902*0.100788        6.31
164336      250         150         0.28790*0.675902*0.100788        6.31
164337      250         200         0.28790*0.675902*0.100788        6.31
164338      300           0         0.13173*0.675902*0.100788        6.93
164339      300          50         0.13173*0.675902*0.100788        6.93
164340      300         100         0.13173*0.675902*0.100788        6.93
164341      300         150         0.13173*0.675902*0.100788        6.93
164342      300         200         0.13173*0.675902*0.100788        6.93
164343      300         250         0.13173*0.675902*0.100788        6.93
164344      350           0         0.06623*0.675902*0.100788        7.31
164345      350          50         0.06623*0.675902*0.100788        7.31
164346      350         100         0.06623*0.675902*0.100788        7.31
164347      350         150         0.06623*0.675902*0.100788        7.31
164348      350         200         0.06623*0.675902*0.100788        7.31
164349      350         250         0.06623*0.675902*0.100788        7.31
164350      350         300         0.06623*0.675902*0.100788        7.31
164351      400           0         0.03542*0.675902*0.100788        7.82
164352      400          50         0.03542*0.675902*0.100788        7.82 
164353      400         100         0.03542*0.675902*0.100788        7.82
164354      400         150         0.03542*0.675902*0.100788        7.82
164355      400         200         0.03542*0.675902*0.100788        7.82
164356      400         250         0.03542*0.675902*0.100788        7.82
164357      400         300         0.03542*0.675902*0.100788        7.82
164358      400         350         0.03542*0.675902*0.100788        7.82
164359      450           0         0.01952*0.675902*0.100788        8.27 
164360      450          50         0.01952*0.675902*0.100788        8.27
164361      450         100         0.01952*0.675902*0.100788        8.27
164362      450         150         0.01952*0.675902*0.100788        8.27
164363      450         200         0.01952*0.675902*0.100788        8.27
164364      450         250         0.01952*0.675902*0.100788        8.27
164365      450         300         0.01952*0.675902*0.100788        8.27
164366      450         350         0.01952*0.675902*0.100788        8.27
164367      450         400         0.01952*0.675902*0.100788        8.27
164368      500           0         0.01115*0.675902*0.100788        8.35
164369      500         100         0.01115*0.675902*0.100788        8.35
164370      500         200         0.01115*0.675902*0.100788        8.35
164371      500         300         0.01115*0.675902*0.100788        8.35
164372      500         400         0.01115*0.675902*0.100788        8.35
164373      500         450         0.01115*0.675902*0.100788        8.35
