DS      MC1,MN2[GeV]   MN1[GeV]             xsec[pb]              xsec sys[%]

164274      100           0         10.2344*0.324098*0.100788        7.55 
164275      100          50         10.2344*0.324098*0.100788        7.55
164276      150           0         2.19063*0.324098*0.100788        6.45
164277      150          50         2.19063*0.324098*0.100788        6.45
164278      150         100         2.19063*0.324098*0.100788        6.45
164279      200           0         0.71445*0.324098*0.100788        6.30
164280      200          50         0.71445*0.324098*0.100788        6.30
164281      200         100         0.71445*0.324098*0.100788        6.30
164282      200         150         0.71445*0.324098*0.100788        6.30
164283      250           0         0.28790*0.324098*0.100788        6.31
164284      250          50         0.28790*0.324098*0.100788        6.31
164285      250         100         0.28790*0.324098*0.100788        6.31
164286      250         150         0.28790*0.324098*0.100788        6.31
164287      250         200         0.28790*0.324098*0.100788        6.31
164288      300           0         0.13173*0.324098*0.100788        6.93
164289      300          50         0.13173*0.324098*0.100788        6.93
164290      300         100         0.13173*0.324098*0.100788        6.93
164291      300         150         0.13173*0.324098*0.100788        6.93
164292      300         200         0.13173*0.324098*0.100788        6.93
164293      300         250         0.13173*0.324098*0.100788        6.93
164294      350           0         0.06623*0.324098*0.100788        7.31
164295      350          50         0.06623*0.324098*0.100788        7.31
164296      350         100         0.06623*0.324098*0.100788        7.31
164297      350         150         0.06623*0.324098*0.100788        7.31
164298      350         200         0.06623*0.324098*0.100788        7.31
164299      350         250         0.06623*0.324098*0.100788        7.31
164300      350         300         0.06623*0.324098*0.100788        7.31
164301      400           0         0.03542*0.324098*0.100788        7.82 
164302      400          50         0.03542*0.324098*0.100788        7.82
164303      400         100         0.03542*0.324098*0.100788        7.82
164304      400         150         0.03542*0.324098*0.100788        7.82
164305      400         200         0.03542*0.324098*0.100788        7.82
164306      400         250         0.03542*0.324098*0.100788        7.82
164307      400         300         0.03542*0.324098*0.100788        7.82
164308      400         350         0.03542*0.324098*0.100788        7.82
164309      450           0         0.01952*0.324098*0.100788        8.27 
164310      450          50         0.01952*0.324098*0.100788        8.27
164311      450         100         0.01952*0.324098*0.100788        8.27
164312      450         150         0.01952*0.324098*0.100788        8.27
164313      450         200         0.01952*0.324098*0.100788        8.27
164314      450         250         0.01952*0.324098*0.100788        8.27
164315      450         300         0.01952*0.324098*0.100788        8.27
164316      450         350         0.01952*0.324098*0.100788        8.27
164317      450         400         0.01952*0.324098*0.100788        8.27
164318      500           0         0.01115*0.324098*0.100788        8.35
164319      500         100         0.01115*0.324098*0.100788        8.35
164320      500         200         0.01115*0.324098*0.100788        8.35
164321      500         300         0.01115*0.324098*0.100788        8.35
164322      500         400         0.01115*0.324098*0.100788        8.35
164323      500         450         0.01115*0.324098*0.100788        8.35

174663      125.0        0.0       4.3805940151*0.324098*0.100788     7.04
174664      175.0        0.0       1.2050648928*0.324098*0.100788     6.56
174665      100.0       25.0      10.2343785763*0.324098*0.100788     7.55
174666      125.0       25.0       4.3805940151*0.324098*0.100788     7.04
174667      150.0       25.0       2.1906288266*0.324098*0.100788     6.45
174668      175.0       25.0       1.2050648928*0.324098*0.100788     6.56
174669      200.0       25.0       0.7144479305*0.324098*0.100788     6.30
174670      150.0       37.5       2.1906288266*0.324098*0.100788     6.45
174671      112.5       50.0       6.5225815773*0.324098*0.100788     7.31
174672      125.0       50.0       4.3805940151*0.324098*0.100788     7.04
174673      137.5       50.0       3.0455039740*0.324098*0.100788     6.88
174674      162.5       50.0       1.6024211049*0.324098*0.100788     6.46
174675      175.0       50.0       1.2050648928*0.324098*0.100788     6.56
174676      187.5       50.0       0.9214508235*0.324098*0.100788     6.41
174677      150.0       62.5       2.1906288266*0.324098*0.100788     6.45
174678      100.0       75.0      10.2343785763*0.324098*0.100788     7.55
174835      125.0       75.0       4.3805940151*0.324098*0.100788     7.04
174836      150.0       75.0       2.1906288266*0.324098*0.100788     6.45
174837      175.0       75.0       1.2050648928*0.324098*0.100788     6.56
174838      200.0       75.0       0.7144479305*0.324098*0.100788     6.30
174839      125.0      100.0       4.3805940151*0.324098*0.100788     7.04
174840      175.0      100.0       1.2050648928*0.324098*0.100788     6.56
