DS      MC1,MN2[GeV]   MN1[GeV]             xsec[pb]              xsec sys[%]

164374      100           0         5.16029*0.324098*0.100788        7.56  
164375      100          50         5.16029*0.324098*0.100788        7.56
164376      150           0         1.08412*0.324098*0.100788        6.37
164377      150          50         1.08412*0.324098*0.100788        6.37
164378      150         100         1.08412*0.324098*0.100788        6.37
164379      200           0         0.35145*0.324098*0.100788        6.40
164380      200          50         0.35145*0.324098*0.100788        6.40
164381      200         100         0.35145*0.324098*0.100788        6.40
164382      200         150         0.35145*0.324098*0.100788        6.40
164383      250           0         0.14026*0.324098*0.100788        6.23
164384      250          50         0.14026*0.324098*0.100788        6.23
164385      250         100         0.14026*0.324098*0.100788        6.23
164386      250         150         0.14026*0.324098*0.100788        6.23
164387      250         200         0.14026*0.324098*0.100788        6.23
164388      300           0         0.06328*0.324098*0.100788        6.62
164389      300          50         0.06328*0.324098*0.100788        6.62
164390      300         100         0.06328*0.324098*0.100788        6.62
164391      300         150         0.06328*0.324098*0.100788        6.62
164392      300         200         0.06328*0.324098*0.100788        6.62
164393      300         250         0.06328*0.324098*0.100788        6.62
164394      350           0         0.03160*0.324098*0.100788        7.03
164395      350          50         0.03160*0.324098*0.100788        7.03
164396      350         100         0.03160*0.324098*0.100788        7.03
164397      350         150         0.03160*0.324098*0.100788        7.03
164398      350         200         0.03160*0.324098*0.100788        7.03
164399      350         250         0.03160*0.324098*0.100788        7.03
164400      350         300         0.03160*0.324098*0.100788        7.03
164401      400           0         0.01674*0.324098*0.100788        7.67 
164402      400          50         0.01674*0.324098*0.100788        7.67
164403      400         100         0.01674*0.324098*0.100788        7.67
164404      400         150         0.01674*0.324098*0.100788        7.67
164405      400         200         0.01674*0.324098*0.100788        7.67
164406      400         250         0.01674*0.324098*0.100788        7.67
164407      400         300         0.01674*0.324098*0.100788        7.67
164408      400         350         0.01674*0.324098*0.100788        7.67
164409      450           0         0.00914*0.324098*0.100788        7.56 
164410      450          50         0.00914*0.324098*0.100788        7.56
164411      450         100         0.00914*0.324098*0.100788        7.56
164412      450         150         0.00914*0.324098*0.100788        7.56
164413      450         200         0.00914*0.324098*0.100788        7.56
164414      450         250         0.00914*0.324098*0.100788        7.56
164415      450         300         0.00914*0.324098*0.100788        7.56
164416      450         350         0.00914*0.324098*0.100788        7.56
164417      450         400         0.00914*0.324098*0.100788        7.56
164418      500           0         0.00519*0.324098*0.100788        8.02
164419      500         100         0.00519*0.324098*0.100788        8.02
164420      500         200         0.00519*0.324098*0.100788        8.02
164421      500         300         0.00519*0.324098*0.100788        8.02
164422      500         400         0.00519*0.324098*0.100788        8.02
164423      500         450         0.00519*0.324098*0.100788        8.02
