DS      MC1,MN2[GeV]   MSl[GeV]   MN1[GeV]     xsec[pb]     xsec sys[%]

144902      112.5        62.5       12.5      3.2718927860      7.24
157969      117.5       100.0       82.5      2.7781445980      7.18
144904      130.0        80.0       30.0      1.8920923471      6.82
157970      142.5       125.0      107.5      1.3258839846      6.70
144907      150.0       100.0       50.0      1.0841178894      6.37
144905      155.0        80.0        5.0      0.9562610984      6.50
144908      175.0       100.0       25.0      0.5955330133      6.57
144910      175.0       125.0       75.0      0.5955330133      6.57
157971      192.5       175.0      157.5      0.4098809958      6.35
144911      200.0       125.0       50.0      0.3514513671      6.40
144914      225.0       175.0      125.0      0.2188667208      6.43
144912      250.0       125.0        0.0      0.1402591020      6.23
144915      250.0       175.0      100.0      0.1402591020      6.23
157972      267.5       250.0      232.5      0.1058609635      7.19
144916      300.0       175.0       50.0      0.0632844642      6.62
144919      300.0       250.0      200.0      0.0632844642      6.62
144920      325.0       250.0      175.0      0.0441656411      6.84
144917      350.0       175.0        0.0      0.0315974541      7.03
144921      375.0       250.0      125.0      0.0230061989      6.89
157973      392.5       375.0      357.5      0.0183213651      7.52
144922      425.0       250.0       75.0      0.0124846781      7.02
144925      425.0       375.0      325.0      0.0124846781      7.02
144926      450.0       375.0      300.0      0.0091380989      7.56
144923      500.0       250.0        0.0      0.0051936498      8.02
144927      500.0       375.0      250.0      0.0051936498      8.02
157977      517.5       500.0      482.5      0.0044040722      8.10
157974      550.0       375.0      200.0      0.0031285346      8.54
157978      550.0       500.0      450.0      0.0031285346      8.54
157979      575.0       500.0      425.0      0.0024304809      8.57
157975      625.0       375.0      125.0      0.0014487567      8.91
157980      625.0       500.0      375.0      0.0014487567      8.91
157983      642.5       625.0      607.5      0.0012277695      8.93
157981      675.0       500.0      325.0      0.0009216880      9.17
157984      675.0       625.0      575.0      0.0009216880      9.17
157985      700.0       625.0      550.0      0.0007465705      9.44
157976      750.0       375.0        0.0      0.0004565463      9.35
157982      750.0       500.0      250.0      0.0004565463      9.35
157986      750.0       625.0      500.0      0.0004565463      9.35
